,Unnamed: 0.1,Unnamed: 0,date,district,n_battles,n_explosions,n_protests,n_riots,n_strategicdev,n_violcivilians,n_conflict_total
70,70,70,2021-04-01,Afgooye,21.0,3.0,,,,1.0,25.0
71,71,71,2021-05-01,Afgooye,24.0,2.0,,,,1.0,27.0
72,72,72,2021-06-01,Afgooye,22.0,3.0,,,,1.0,26.0
73,73,73,2021-07-01,Afgooye,16.0,4.0,,,1.0,4.0,25.0
74,74,74,2021-08-01,Afgooye,20.0,1.0,,,,1.0,22.0
75,75,75,2021-09-01,Afgooye,21.0,5.0,,,,1.0,27.0
76,76,76,2021-10-01,Afgooye,8.0,1.0,,,,,9.0
77,77,77,2016-10-01,Afmadow,4.0,,,,3.0,1.0,8.0
78,78,78,2016-11-01,Afmadow,1.0,,,,,,1.0
79,79,79,2016-12-01,Afmadow,2.0,2.0,,,,,4.0
80,80,80,2017-02-01,Afmadow,2.0,3.0,,,,1.0,6.0
81,81,81,2017-03-01,Afmadow,2.0,,,,,,2.0
82,82,82,2017-04-01,Afmadow,,,,,2.0,,2.0
83,83,83,2017-06-01,Afmadow,3.0,3.0,1.0,,,2.0,9.0
84,84,84,2017-07-01,Afmadow,4.0,,,,,1.0,5.0
85,85,85,2017-08-01,Afmadow,3.0,1.0,,,,,4.0
86,86,86,2017-09-01,Afmadow,1.0,2.0,,,2.0,2.0,7.0
87,87,87,2017-10-01,Afmadow,1.0,,,,,2.0,3.0
88,88,88,2017-11-01,Afmadow,3.0,,,,,,3.0
89,89,89,2017-12-01,Afmadow,2.0,,,,,,2.0
90,90,90,2018-01-01,Afmadow,3.0,3.0,,,,,6.0
91,91,91,2018-02-01,Afmadow,2.0,1.0,,,1.0,,4.0
92,92,92,2018-03-01,Afmadow,2.0,,,,,1.0,3.0
93,93,93,2018-04-01,Afmadow,6.0,4.0,,,,,10.0
94,94,94,2018-05-01,Afmadow,5.0,4.0,,,2.0,1.0,12.0
95,95,95,2018-07-01,Afmadow,1.0,,,,,,1.0
96,96,96,2018-08-01,Afmadow,,,2.0,,,,2.0
97,97,97,2018-09-01,Afmadow,1.0,2.0,,,,,3.0
98,98,98,2018-10-01,Afmadow,1.0,,,,,1.0,2.0
99,99,99,2018-11-01,Afmadow,1.0,,,,,,1.0
100,100,100,2018-12-01,Afmadow,,1.0,,,3.0,1.0,5.0
101,101,101,2019-01-01,Afmadow,6.0,5.0,,,4.0,2.0,17.0
102,102,102,2019-02-01,Afmadow,2.0,3.0,,,1.0,2.0,8.0
103,103,103,2019-03-01,Afmadow,4.0,2.0,,,,,6.0
104,104,104,2019-04-01,Afmadow,,3.0,,,,,3.0
105,105,105,2019-05-01,Afmadow,5.0,1.0,,,,,6.0
106,106,106,2019-06-01,Afmadow,1.0,2.0,,,,,3.0
107,107,107,2019-07-01,Afmadow,3.0,1.0,,,,1.0,5.0
108,108,108,2019-08-01,Afmadow,,1.0,1.0,,,,2.0
109,109,109,2019-09-01,Afmadow,1.0,1.0,1.0,,1.0,3.0,7.0
110,110,110,2019-10-01,Afmadow,3.0,1.0,,,,,4.0
111,111,111,2019-11-01,Afmadow,6.0,1.0,,,,2.0,9.0
112,112,112,2019-12-01,Afmadow,4.0,,,,,1.0,5.0
113,113,113,2020-01-01,Afmadow,4.0,1.0,,,,,5.0
114,114,114,2020-02-01,Afmadow,3.0,2.0,,,,,5.0
115,115,115,2020-03-01,Afmadow,5.0,1.0,,,,1.0,7.0
116,116,116,2020-04-01,Afmadow,1.0,,,,,,1.0
117,117,117,2020-05-01,Afmadow,4.0,,,,,,4.0
118,118,118,2020-06-01,Afmadow,5.0,2.0,,,1.0,3.0,11.0
119,119,119,2020-07-01,Afmadow,3.0,1.0,,,,,4.0
120,120,120,2020-08-01,Afmadow,9.0,1.0,,,,5.0,15.0
121,121,121,2020-09-01,Afmadow,6.0,5.0,,,1.0,,12.0
122,122,122,2020-10-01,Afmadow,6.0,,,,,,6.0
123,123,123,2020-11-01,Afmadow,9.0,,,,,,9.0
124,124,124,2020-12-01,Afmadow,7.0,1.0,,,,,8.0
