,Unnamed: 0,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district_encoded,Cowpea,Maize,Sorghum,crop
0,0,2017-07-01,Adan Yabaal,65262.95999999999,13052.592,4819.0169664,3733.041312,1085.9756544000002,0.3692,0.0832,0.18,19.156666666666663,0.215,15.0,2.1666666666666665,,3.549436,46.54467,,0.3510000000000001,7,False,-0.0181999999999998,0,,,,
1,1,2017-07-01,Luuq,100476.765,20095.353000000006,8673.154354799999,7366.956409800001,1306.1979450000003,0.4315999999999998,0.065,0.21,24.24,0.1933333333333333,15.0,7.833333333333333,1.5,3.792931,42.6976,,0.3926,7,False,-0.0389999999999998,59,14.0,750.0,30.0,264.6666666666667
2,2,2017-07-01,Buur Hakaba,165968.46,33193.692,11909.896689600002,8198.841924000002,3711.0547656,0.3588,0.1117999999999999,0.35,34.945,0.3483333333333333,52.5,6.166666666666667,4.666666666666667,2.485374,44.00688,,0.2886,7,False,-0.0701999999999999,24,218.0,30.0,1.9,83.3
3,3,2017-07-01,Marka,282222.765,56444.55299999999,20839.328967599995,16143.142157999995,4696.1868096,0.3692,0.0832,0.17,23.565,0.2983333333333333,36.5,11.833333333333334,11.833333333333334,1.740153,44.71787,,0.351,7,False,-0.0181999999999999,60,330.0,6.75,,
4,4,2017-07-01,Buuhoodle,71317.70999999999,14263.542,4858.162405200002,3652.893106200001,1205.269299,0.3406000000000001,0.0845,0.37,19.540000000000003,0.2133333333333333,,2.333333333333333,2.5,8.460162,46.66129,,0.2027999999999999,7,False,-0.1378000000000002,23,,,,
5,5,2017-07-01,Owdweyne,78004.845,15600.969,5313.6900414,3995.4081609,1318.2818805000004,0.3406,0.0845,0.46,16.686666666666667,0.165,,1.6666666666666667,2.0,9.257388,45.01097000000001,,0.2028,7,False,-0.1378,61,,,180.0,
6,6,2017-07-01,Qandala,75823.06499999999,15164.612999999998,6150.767032799999,5125.639193999999,1025.1278387999996,0.4055999999999999,0.0675999999999999,0.38,11.034999999999998,0.1633333333333333,,1.6666666666666667,3.333333333333333,11.060160000000002,50.08869000000001,,0.3431999999999999,7,False,-0.0624,62,,,,
7,7,2017-07-01,Burco,560644.8949999999,112128.979,37668.717447400006,28428.234721900004,9240.4827255,0.3359409653359994,0.0824094075225638,0.23,18.7,0.185,6.516666666666667,7.666666666666667,4.25,9.141337,45.75868,,0.2028,7,False,-0.1331409653359993,21,,,50.0,
8,8,2017-07-01,Qansax Dheere,123818.085,24763.617,8885.1857796,6116.613399,2768.5723806,0.3588,0.1117999999999999,0.42,35.505,0.2916666666666667,21.5,9.833333333333334,2.0,2.81513,42.84011,,0.2886,7,False,-0.0701999999999999,63,244.0,600.0,2.175,282.05833333333334
9,9,2017-07-01,Bulo Burto,181435.5,36287.1,15567.165900000002,12548.07918,3019.08672,0.429,0.0832,0.38,17.058333333333334,0.245,30.0,6.166666666666667,2.4,3.900063,45.53233,,0.3926,7,False,-0.0363999999999999,20,,225.0,700.0,
10,10,2017-07-01,Qardho,185616.89,37123.378,15267.6070768,12724.851204000002,2542.7558728,0.4112666438059597,0.0684947332325199,0.04,16.371666666666666,0.1316666666666666,,1.6666666666666667,1.0,9.502092,49.50764999999999,,0.3432,7,False,-0.0680666438059596,64,,,,
11,11,2017-07-01,Bu'aale,93543.3,18708.66,8074.657656,6858.594756,1216.0629,0.4316,0.0649999999999999,0.07,61.24333333333333,0.4783333333333333,30.0,5.666666666666667,1.5,1.197985,42.7408,,0.3925999999999999,7,False,-0.039,19,400.0,2.1,1.12,134.40666666666667
12,12,2017-07-01,Qoryooley,196309.485,39261.897,14495.492372399996,11228.902541999994,3266.5898304,0.3691999999999998,0.0832,0.12,27.45833333333333,0.3533333333333333,28.166666666666668,8.0,5.666666666666667,1.934555,44.44943,,0.351,7,False,-0.0181999999999998,65,165.0,380.76,200.0,248.58666666666667
13,13,2017-07-01,Bossaso,365531.98,73106.39600000001,30416.3542176,24990.241848,5426.1123696,0.4160559934810628,0.0742221292046731,0.02,10.411666666666669,0.145,10.0,5.833333333333333,8.333333333333334,10.9218,49.39968,,0.3432,7,False,-0.0728559934810628,18,,,,
14,14,2017-07-01,Rab Dhuure,35703.36,7140.672000000001,3471.7947264,2469.2443776,1002.5503488,0.4861999999999999,0.1403999999999999,,22.225,0.17,,0.8333333333333334,1.0,4.243281,43.21162,,0.4861999999999999,7,True,0.0,66,12.0,,36.0,
15,15,2017-07-01,Borama,491879.61,98375.922,37343.49999119999,29542.2893766,7801.2106146000015,0.3795999999999999,0.0793,0.07,26.776666666666667,0.18,5.083333333333333,4.666666666666667,1.6,10.18763,43.17024,,0.1690000000000001,7,False,-0.2105999999999998,17,,,810.0,
16,16,2017-07-01,Sablaale,62978.715,12595.743,4650.3483156,3602.3824979999995,1047.9658176,0.3692,0.0832,0.13,55.025,0.4833333333333333,,0.3333333333333333,,1.383262,43.52054,,0.3510000000000001,7,False,-0.0181999999999998,69,130.0,960.0,,
17,17,2017-07-01,Berbera,112100.9,22420.18,7595.508440000001,5726.774664000001,1868.7337760000005,0.3387799937377845,0.0833505251072917,0.17,11.26,0.1033333333333333,,1.3333333333333333,1.6,10.35884,45.28606,,0.1976,7,False,-0.1411799937377845,16,,,,
18,18,2017-07-01,Sheikh,62404.28999999999,12480.858,4250.9802348,3196.3477338,1054.632501,0.3406,0.0845,0.26,17.166666666666668,0.18,,0.8333333333333334,1.0,9.992453,45.42914,,0.2028,7,False,-0.1378,70,,,20.0,
19,19,2017-07-01,Belet Xaawo,89717.93999999997,17943.588,7744.452580800002,6578.119360800001,1166.33322,0.4316000000000001,0.065,0.23,25.688333333333333,0.2616666666666666,22.0,8.0,1.5,3.435586,41.7337,,0.3926,7,False,-0.039,15,2.0,68.0,,
20,20,2017-07-01,Taleex,57175.47,11435.094,5054.311548,3865.061772,1189.249776,0.442,0.104,0.39,11.511666666666668,0.1266666666666666,,1.5,,9.179458,48.54122,,0.2912,7,False,-0.1508,71,,,,
21,21,2017-07-01,Belet Weyne,281126.69999999995,56225.34,24120.67086,19442.722572,4677.9482880000005,0.429,0.0832,0.42,15.163333333333334,0.22,25.416666666666668,11.833333333333334,9.0,4.724339,45.37965,,0.3926,7,False,-0.0363999999999999,13,,240.0,537.0,
22,22,2017-07-01,Tayeeglow,99175.77,19835.154,9643.8518748,6858.996253200001,2784.8556216,0.4861999999999999,0.1404,0.33,20.218333333333334,0.2966666666666667,60.0,6.333333333333333,2.0,3.835937,44.52907,,0.4861999999999999,7,True,0.0,72,33.0,18.0,336.0,129.0
23,23,2017-07-01,Baraawe,69703.11,13940.622,5146.877642400002,3987.017892000001,1159.8597504000004,0.3692000000000001,0.0832,0.3,43.10999999999999,0.28,12.0,6.333333333333333,5.25,1.10831,43.84067000000001,,0.3510000000000001,7,False,-0.0181999999999999,11,75.0,840.0,,
24,24,2017-07-01,Waajid,85276.75499999999,17055.351000000002,8292.3116562,5897.7403758,2394.5712804,0.4861999999999999,0.1403999999999999,0.44,26.04833333333333,0.2566666666666666,,7.0,2.75,3.81645,43.43285,,0.4861999999999999,7,True,0.0,73,24.0,12.0,120.0,52.0
25,25,2017-07-01,Bandarbeyla,27594.135,5518.826999999999,2238.4362312,1865.363526,373.0727052,0.4056,0.0676,0.15,12.158333333333331,0.1383333333333333,30.0,2.1666666666666665,,9.229735,50.32945,,0.3432000000000001,7,False,-0.0623999999999999,10,,,,
26,26,2017-07-01,Wanla Weyn,227667.915,45533.583,16810.9988436,13022.604737999998,3788.3941056,0.3692,0.0832,0.06,17.33,0.2533333333333333,10.0,8.0,3.0,2.791644,44.90646999999999,,0.351,7,False,-0.0181999999999999,74,60.0,,3.81,
27,27,2017-07-01,Banadir,2077273.9450000003,415454.789,161739.17677320002,124196.91749400004,37542.259279200014,0.3893063241911504,0.0903642472615715,0.1,28.77,,,14.0,55.833333333333336,2.110552,45.42547,,0.2912,7,False,-0.0981063241911504,9,,,,
28,28,2017-07-01,Cabudwaaq,73330.78499999999,14666.157,7626.401640000001,5872.329262800001,1754.0723772,0.5200000000000001,0.1196,0.36,11.251666666666663,0.1899999999999999,15.333333333333334,5.5,2.5,5.826085,46.125,,0.4212,7,False,-0.0988000000000001,25,,,,
