,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district_encoded
0,2017-07-01,Adan Yabaal,65262.95999999999,13052.592,4819.0169664,3733.041312,1085.9756544000002,0.3692,0.0832,0.18,19.156666666666666,0.215,15.0,2.1666666666666665,,3.549436,46.54467,,0.3510000000000001,7,False,-0.018199999999999883,0
1,2017-07-01,Luuq,100476.765,20095.353000000006,8673.154354799999,7366.956409800001,1306.1979450000003,0.4315999999999998,0.065,0.21,24.24,0.19333333333333336,15.0,7.833333333333333,1.5,3.792931,42.6976,,0.3926,7,False,-0.03899999999999981,59
2,2017-07-01,Buur Hakaba,165968.46,33193.692,11909.896689600002,8198.841924000002,3711.0547656,0.3588,0.1117999999999999,0.35,34.945,0.34833333333333333,52.5,6.166666666666667,4.666666666666667,2.485374,44.00688,,0.2886,7,False,-0.07019999999999998,24
3,2017-07-01,Marka,282222.765,56444.55299999999,20839.328967599995,16143.142157999995,4696.1868096,0.3692,0.0832,0.17,23.564999999999998,0.29833333333333334,36.5,11.833333333333334,11.833333333333334,1.740153,44.71787,,0.351,7,False,-0.018199999999999994,60
4,2017-07-01,Buuhoodle,71317.70999999999,14263.542,4858.162405200002,3652.893106200001,1205.269299,0.3406000000000001,0.0845,0.37,19.540000000000003,0.21333333333333335,,2.3333333333333335,2.5,8.460162,46.66129,,0.2027999999999999,7,False,-0.13780000000000023,23
5,2017-07-01,Owdweyne,78004.845,15600.969,5313.6900414,3995.4081609,1318.2818805000004,0.3406,0.0845,0.46,16.686666666666667,0.165,,1.6666666666666667,2.0,9.257388,45.01097000000001,,0.2028,7,False,-0.1378,61
6,2017-07-01,Qandala,75823.06499999999,15164.612999999998,6150.767032799999,5125.639193999999,1025.1278387999996,0.4055999999999999,0.0675999999999999,0.38,11.034999999999998,0.16333333333333333,,1.6666666666666667,3.3333333333333335,11.060160000000002,50.08869000000001,,0.3431999999999999,7,False,-0.06240000000000001,62
7,2017-07-01,Burco,560644.8949999999,112128.979,37668.717447400006,28428.234721900004,9240.4827255,0.3359409653359994,0.0824094075225638,0.23,18.7,0.18500000000000003,6.516666666666667,7.666666666666667,4.25,9.141337,45.75868,,0.2028,7,False,-0.13314096533599937,21
8,2017-07-01,Qansax Dheere,123818.085,24763.617,8885.1857796,6116.613399,2768.5723806,0.3588,0.1117999999999999,0.42,35.505,0.2916666666666667,21.5,9.833333333333334,2.0,2.81513,42.84011,,0.2886,7,False,-0.07019999999999998,63
9,2017-07-01,Bulo Burto,181435.5,36287.1,15567.165900000002,12548.07918,3019.08672,0.429,0.0832,0.38,17.058333333333334,0.245,30.0,6.166666666666667,2.4,3.900063,45.53233,,0.3926,7,False,-0.03639999999999999,20
10,2017-07-01,Qardho,185616.89,37123.378,15267.6070768,12724.851204000002,2542.7558728,0.4112666438059597,0.0684947332325199,0.04,16.371666666666666,0.13166666666666668,,1.6666666666666667,1.0,9.502092,49.50764999999999,,0.3432,7,False,-0.06806664380595967,64
11,2017-07-01,Bu'aale,93543.3,18708.66,8074.657656,6858.594756,1216.0629,0.4316,0.0649999999999999,0.07,61.24333333333333,0.47833333333333333,30.0,5.666666666666667,1.5,1.197985,42.7408,,0.3925999999999999,7,False,-0.03900000000000009,19
12,2017-07-01,Qoryooley,196309.485,39261.897,14495.492372399996,11228.902541999994,3266.5898304,0.3691999999999998,0.0832,0.12,27.458333333333332,0.35333333333333333,28.166666666666668,8.0,5.666666666666667,1.9345550000000002,44.44943,,0.351,7,False,-0.018199999999999827,65
13,2017-07-01,Bossaso,365531.98,73106.39600000001,30416.3542176,24990.241848,5426.1123696,0.4160559934810628,0.0742221292046731,0.02,10.411666666666667,0.145,10.0,5.833333333333333,8.333333333333334,10.9218,49.39968,,0.3432,7,False,-0.07285599348106281,18
14,2017-07-01,Rab Dhuure,35703.36,7140.672000000001,3471.7947264,2469.2443776,1002.5503488,0.4861999999999999,0.1403999999999999,,22.224999999999998,0.17,,0.8333333333333334,1.0,4.243281,43.21162,,0.4861999999999999,7,True,0.0,66
15,2017-07-01,Borama,491879.61,98375.922,37343.49999119999,29542.2893766,7801.2106146000015,0.3795999999999999,0.0793,0.07,26.776666666666667,0.18000000000000002,5.083333333333333,4.666666666666667,1.6,10.18763,43.17024,,0.1690000000000001,7,False,-0.2105999999999998,17
16,2017-07-01,Sablaale,62978.715,12595.743,4650.3483156,3602.3824979999995,1047.9658176,0.3692,0.0832,0.13,55.025,0.48333333333333334,,0.3333333333333333,,1.383262,43.520540000000004,,0.3510000000000001,7,False,-0.018199999999999883,69
17,2017-07-01,Berbera,112100.9,22420.18,7595.508440000001,5726.774664000001,1868.7337760000005,0.3387799937377845,0.0833505251072917,0.17,11.26,0.10333333333333333,,1.3333333333333333,1.6,10.35884,45.28606,,0.1976,7,False,-0.1411799937377845,16
18,2017-07-01,Sheikh,62404.28999999999,12480.858,4250.9802348,3196.3477338,1054.632501,0.3406,0.0845,0.26,17.166666666666668,0.18000000000000002,,0.8333333333333334,1.0,9.992453,45.42914,,0.2028,7,False,-0.1378,70
19,2017-07-01,Belet Xaawo,89717.93999999997,17943.588,7744.452580800002,6578.119360800001,1166.33322,0.4316000000000001,0.065,0.23,25.688333333333333,0.26166666666666666,22.0,8.0,1.5,3.4355859999999994,41.7337,,0.3926,7,False,-0.03900000000000009,15
20,2017-07-01,Taleex,57175.47,11435.094,5054.311548,3865.061772,1189.249776,0.442,0.104,0.39,11.511666666666668,0.12666666666666668,,1.5,,9.179458,48.54122,,0.2912,7,False,-0.1508,71
21,2017-07-01,Belet Weyne,281126.69999999995,56225.34,24120.67086,19442.722572,4677.9482880000005,0.429,0.0832,0.42,15.163333333333334,0.22,25.416666666666668,11.833333333333334,9.0,4.724339,45.37965,,0.3926,7,False,-0.03639999999999999,13
22,2017-07-01,Tayeeglow,99175.77,19835.154,9643.8518748,6858.996253200001,2784.8556216,0.4861999999999999,0.1404,0.33,20.218333333333334,0.2966666666666667,60.0,6.333333333333333,2.0,3.835937,44.52907,,0.4861999999999999,7,True,0.0,72
23,2017-07-01,Baraawe,69703.11,13940.622,5146.877642400002,3987.017892000001,1159.8597504000004,0.3692000000000001,0.0832,0.3,43.10999999999999,0.28,12.0,6.333333333333333,5.25,1.10831,43.84067000000001,,0.3510000000000001,7,False,-0.018199999999999994,11
24,2017-07-01,Waajid,85276.75499999999,17055.351000000002,8292.3116562,5897.7403758,2394.5712804,0.4861999999999999,0.1403999999999999,0.44,26.048333333333332,0.25666666666666665,,7.0,2.75,3.81645,43.43285,,0.4861999999999999,7,True,0.0,73
25,2017-07-01,Bandarbeyla,27594.135,5518.826999999999,2238.4362312,1865.363526,373.0727052,0.4056,0.0676,0.15,12.158333333333331,0.13833333333333334,30.0,2.1666666666666665,,9.229735,50.32945,,0.3432000000000001,7,False,-0.0623999999999999,10
26,2017-07-01,Wanla Weyn,227667.915,45533.583,16810.9988436,13022.604737999998,3788.3941056,0.3692,0.0832,0.06,17.33,0.25333333333333335,10.0,8.0,3.0,2.791644,44.90646999999999,,0.351,7,False,-0.018199999999999994,74
27,2017-07-01,Banadir,2077273.9450000003,415454.789,161739.17677320002,124196.91749400004,37542.259279200014,0.3893063241911504,0.0903642472615715,0.1,28.77,,,14.0,55.833333333333336,2.110552,45.42547,,0.2912,7,False,-0.0981063241911504,9
28,2017-07-01,Cabudwaaq,73330.78499999999,14666.157,7626.401640000001,5872.329262800001,1754.0723772,0.5200000000000001,0.1196,0.36,11.251666666666665,0.18999999999999997,15.333333333333334,5.5,2.5,5.826085,46.125,,0.4212,7,False,-0.09880000000000011,25
29,2017-07-01,Xarardheere,278193.50999999995,55638.70199999999,26328.233786400004,21120.451279199995,5207.782507199999,0.4732000000000002,0.0935999999999999,0.25,14.223333333333334,0.15666666666666668,10.833333333333334,6.0,3.5,4.793407,47.83268,,0.4004000000000001,7,False,-0.07280000000000009,75
30,2017-07-01,Lughaye,70268.22,14053.643999999998,5334.7632624,4220.3092932,1114.4539692,0.3796,0.0793,0.36,5.794999999999999,0.09000000000000001,4.5,2.6666666666666665,1.0,10.64738,43.57811999999999,,0.169,7,False,-0.21059999999999998,58
31,2017-07-01,Laas Caanood,170114.66999999998,34022.934,15038.136828000002,11499.751692000002,3538.385136000001,0.442,0.104,0.39,14.101666666666667,0.15333333333333335,107.08333333333333,6.0,4.166666666666667,8.438008,47.63642000000001,,0.2911999999999999,7,False,-0.1508000000000001,55
32,2017-07-01,Gaalkacyo,630641.6,126128.32,60502.893984,48576.846032,11926.047952,0.4796931726673279,0.0945548783334305,0.58,11.296666666666667,0.17500000000000002,20.0,10.5,9.166666666666666,6.935230000000001,47.68801,,0.4004,7,False,-0.07929317266732794,40
33,2017-07-01,Garbahaarey,91374.975,18274.995,7887.487842,6699.613167,1187.874675,0.4316,0.065,0.23,27.505,0.24833333333333332,,2.3333333333333335,1.2,3.205999,42.35913,,0.3925999999999999,7,False,-0.03900000000000009,42
34,2017-07-01,Eyl,105162.21,21032.442000000003,9515.0767608,7929.230634,1585.8461268,0.4523999999999998,0.0753999999999999,0.26,18.746666666666666,0.14833333333333334,60.0,3.1666666666666665,1.0,8.094348,49.56446,,0.3795999999999999,7,False,-0.07279999999999992,39
35,2017-07-01,Garoowe,207534.915,41506.983,19024.629109200006,15697.506591,3327.122518200001,0.458347673913086,0.0801581391304687,0.13,19.626666666666665,0.13833333333333334,4.166666666666667,6.833333333333333,3.0,8.470396000000001,48.786390000000004,,0.3795999999999999,7,False,-0.07874767391308612,43
36,2017-07-01,Doolow,50233.7,10046.74,4376.618584000002,3699.313124,677.3054599999999,0.4356257436740676,0.0674154462044404,0.23,18.89166666666667,0.18000000000000002,,1.1666666666666667,1.0,4.002533000000001,42.1408,,0.3926,7,False,-0.043025743674067585,38
37,2017-07-01,Gebiley,146038.5,29207.7,9872.2026,7442.121959999999,2430.08064,0.338,0.0831999999999999,0.15,27.05333333333333,0.17,10.166666666666666,3.3333333333333335,1.5,9.859568,43.68093,,0.1975999999999999,7,False,-0.14040000000000014,44
38,2017-07-01,Diinsoor,100108.305,20021.661,7183.771966800001,4945.350267000002,2238.4216998,0.3588,0.1118,0.39,43.044999999999995,0.37166666666666665,38.291666666666664,9.333333333333334,3.0,2.102024,42.90189,,0.2886000000000001,7,False,-0.07019999999999993,37
39,2017-07-01,Hargeysa,1071923.705,214384.741,73445.88245800001,55654.83200680001,17791.050451200004,0.3425891325819686,0.0829865519729317,0.08,19.463333333333335,0.0,12.0,6.5,3.1666666666666665,9.521626,44.28073,,0.1975999999999999,7,False,-0.14498913258196872,45
40,2017-07-01,Dhuusamarreeb,166457.645,33291.528999999995,17555.47508,13450.048211599998,4105.4268684,0.5273255872387238,0.1233174621808448,0.37,10.686666666666667,0.18833333333333332,18.375,5.166666666666667,1.8,5.441128,46.68404999999999,,0.4212,7,False,-0.10612558723872378,36
41,2017-07-01,Hobyo,285434.37,57086.874,27013.508776800005,21670.177370400004,5343.3314064000015,0.4732,0.0936,0.5,8.616666666666667,0.1416666666666667,20.0,5.666666666666667,2.2,5.971543,48.20153,,0.4003999999999999,7,False,-0.07280000000000009,46
42,2017-07-01,Ceerigaabo,239221.62,47844.324,21271.5864504,16731.1601028,4540.426347600001,0.4446,0.0949,0.34,16.77,0.13333333333333333,44.583333333333336,5.166666666666667,1.0,10.29076,47.8071,,0.3367000000000001,7,False,-0.10789999999999988,35
43,2017-07-01,Iskushuban,82588.86,16517.772,6699.608323200001,5583.006936000002,1116.6013872,0.4056,0.0676,0.28,7.430000000000001,0.1366666666666667,30.0,2.1666666666666665,1.5,10.5516,50.50521,,0.3432,7,False,-0.06240000000000001,47
44,2017-07-01,Ceel Waaq,32041.53,6408.306000000001,2765.8248696,2349.2849796,416.53989000000007,0.4315999999999999,0.065,0.14,33.525,0.295,15.666666666666666,7.5,3.0,2.6789779999999994,41.44526,,0.3925999999999998,7,False,-0.03900000000000009,34
45,2017-07-01,Jalalaqsi,76346.775,15269.355,6550.5532950000015,5280.142959000002,1270.410336,0.4290000000000001,0.0832,0.33,16.093333333333334,0.25833333333333336,10.0,5.333333333333333,1.5,3.40329,45.61273,,0.3925999999999999,7,False,-0.03640000000000021,48
46,2017-07-01,Ceel Dheer,130366.52999999998,26073.306,13558.11912,10439.751722399998,3118.3673976,0.52,0.1196,0.38,19.483333333333334,0.19166666666666665,23.125,3.3333333333333335,1.0,4.051839,47.04731999999999,,0.4211999999999999,7,False,-0.09880000000000011,33
47,2017-07-01,Jamaame,169536.10499999998,33907.221,14634.356583600002,12430.3872186,2203.969365,0.4316000000000001,0.065,0.28,61.74666666666667,0.37666666666666665,10.0,4.5,1.3333333333333333,0.124303,42.80163000000001,,0.3926,7,False,-0.03900000000000009,49
48,2017-07-01,Ceel Buur,141229.88999999998,28245.978,14687.90856,11309.6895912,3378.2189688000003,0.52,0.1196,0.33,12.718333333333334,0.19999999999999998,,2.0,2.3333333333333335,4.760488,46.84157,,0.4212,7,False,-0.0988,32
49,2017-07-01,Jariiban,83205.71999999999,16641.143999999997,7874.589340799997,6316.978262399999,1557.611078399999,0.4731999999999999,0.0935999999999999,0.38,10.07,0.15333333333333335,50.0,3.3333333333333335,,7.163778999999999,48.9986,,0.4004,7,False,-0.07279999999999992,50
50,2017-07-01,Ceel Barde,46070.955,9214.191,4479.939664199998,3186.2672477999995,1293.6724163999995,0.4861999999999998,0.1403999999999999,0.43,17.205000000000002,0.22333333333333336,48.833333333333336,9.5,2.0,4.673877,43.99833,,0.4861999999999998,7,True,0.0,31
51,2017-07-01,Jilib,103739.085,20747.817,8954.757817200001,7606.149712200001,1348.608105,0.4316000000000001,0.065,0.14,70.79833333333333,0.45166666666666666,30.0,7.5,1.75,0.6450100000000001,43.05589000000001,,0.3925999999999999,7,False,-0.0390000000000002,51
52,2017-07-01,Ceel Afweyn,137053.66499999998,27410.733,12186.811891799998,9585.5333301,2601.2785616999995,0.4446,0.0949,0.38,15.371666666666668,0.135,45.0,4.5,1.0,10.14797,46.68845000000001,,0.3367,7,False,-0.1079,30
53,2017-07-01,Jowhar,279295.785,55859.157,20623.200764400004,15975.718902,4647.481862400001,0.3692000000000001,0.0832,0.07,15.24,0.255,16.0,5.833333333333333,13.333333333333334,2.993369,45.56808,,0.351,7,False,-0.018200000000000105,52
54,2017-07-01,Caynabo,69235.29,13847.058,6120.399636,4680.305604,1440.094032,0.442,0.104,0.43,16.83,0.15,,2.0,1.0,9.282376,46.49009,,0.2911999999999999,7,False,-0.1508000000000001,29
55,2017-07-01,Kismaayo,228785.545,45757.109,19473.1682444,16514.556159400006,2958.612085,0.4255768922026957,0.0646590693699639,0.3,56.086666666666666,0.41333333333333333,70.0,8.833333333333334,14.0,-0.3811448,42.00865,,0.3925999999999999,7,False,-0.032976892202695784,53
56,2017-07-01,Caluula,67184.955,13436.991000000002,5450.043549600001,4541.702958000002,908.3405916000004,0.4056,0.0676,0.38,5.688333333333333,0.17166666666666666,20.0,2.6666666666666665,1.0,11.66822,50.79402000000001,,0.3432,7,False,-0.06240000000000001,28
