,date,district,Cowpea,Ground Nuts,Maize,Onion,Pepper,Rice,Sesame,Sorghum,Tomato,Water Melon
2382,2021-01-01,Qoryooley,320.0,,4.956,,,,644.0,150.0,,
2383,2021-01-01,Rab Dhuure,88.0,,6.0,,,,,466.0,,
2384,2021-01-01,Saakow,800.0,,600.0,,,,1200.0,1710.0,,
2385,2021-01-01,Sablaale,90.0,,1600.0,,,,1500.0,,,
2386,2021-01-01,Sheikh,,,,,,,,,,
2387,2021-01-01,Tayeeglow,412.0,,100.0,,,,,3.396,,
2388,2021-01-01,Waajid,104.0,,20.0,,,,,728.0,,
2389,2021-01-01,Wanla Weyn,480.0,,600.0,,,,1920.0,17.1,,
2390,2021-01-01,Xarardheere,70.0,,,,,,,80.0,,
2391,2021-01-01,Xudur,212.0,,40.0,,,,,2.038,,
2392,2021-07-01,Adan Yabaal,,,,,,,,,,
2393,2021-07-01,Afgooye,660.0,,855.17,,,,160.0,,,
2394,2021-07-01,Afmadow,20.0,,156.0,,,,42.0,,,
2395,2021-07-01,Baardheere,28.0,,1310.0,3.6,,,60.0,600.0,2.2,
2396,2021-07-01,Badhaadhe,60.0,,280.0,,,,6.0,,,
2397,2021-07-01,Balcad,360.0,,8.2,,,,1184.0,80.0,,
2398,2021-07-01,Baraawe,60.0,,400.0,,,,90.0,,,
2399,2021-07-01,Baidoa,300.0,300.0,700.0,,,,180.0,6.5,,
2400,2021-07-01,Belet Weyne,4.0,,320.0,4.5,60.0,,1032.0,796.0,240.0,1900.0
2401,2021-07-01,Belet Xaawo,8.0,,50.0,1200.0,,,,,1200.0,
2402,2021-07-01,Borama,,,800.0,,,,,7.28,,
2403,2021-07-01,Bu'aale,84.0,,232.0,,,,156.0,40.0,,
2404,2021-07-01,Bulo Burto,28.0,,1030.0,2.4,28.0,,276.0,1792.0,180.0,840.0
2405,2021-07-01,Burco,,,,,,,,,,
2406,2021-07-01,Buur Hakaba,72.0,,60.0,,,,,4.8,,
2407,2021-07-01,Cadale,,,,,,,,,,
2408,2021-07-01,Ceel Buur,,,,,,,,,,
2409,2021-07-01,Ceel Dheer,26.0,,,,,,,,,
2410,2021-07-01,Diinsoor,240.0,72.0,360.0,,,,216.0,5.13,,
2411,2021-07-01,Doolow,60.0,,750.0,3.6,,,,,1200.0,
2412,2021-07-01,Ceel Barde,,,,,,,,,,
2413,2021-07-01,Garbahaarey,24.0,,970.0,3.3,,,,,2.08,
2414,2021-07-01,Gebiley,,,1800.0,,,,,16.9,,
2415,2021-07-01,Baki,80.0,,36.0,,,,,192.0,,
2416,2021-07-01,Hargeysa,,,160.0,,,,,2.1,,
2417,2021-07-01,Hobyo,56.0,,,,,,,,,
2418,2021-07-01,Jalalaqsi,26.0,,820.0,1396.0,20.0,,390.0,1674.0,166.0,550.0
2419,2021-07-01,Jamaame,426.0,,107.445,,,,82.0,,,
2420,2021-07-01,Jilib,64.0,,292.0,,,,144.0,,,
2421,2021-07-01,Jowhar,320.0,,10.2,,,480.0,1560.0,400.0,,
2422,2021-07-01,Kismaayo,62.0,,346.0,,,,70.0,,,
2423,2021-07-01,Kurtunwaarey,306.0,,705.7,,,,196.0,,,
2424,2021-07-01,Luuq,40.0,,800.0,2.4,,,,80.0,2.0,
2425,2021-07-01,Marka,520.0,,6.24,,,,280.0,,,
2426,2021-07-01,Owdweyne,,,,,,,,,,
2427,2021-07-01,Qansax Dheere,280.0,120.0,880.0,,,,180.0,8.64,,
2428,2021-07-01,Qoryooley,500.0,,253.97000000000003,,,,80.0,,,
2429,2021-07-01,Rab Dhuure,,,,,,,,14.0,,
2430,2021-07-01,Saakow,80.0,,280.0,,,,176.0,120.0,,
2431,2021-07-01,Sablaale,120.0,,2.88,,,,180.0,,,
2432,2021-07-01,Sheikh,,,,,,,,,,
2433,2021-07-01,Tayeeglow,12.0,,14.0,,,,,220.0,,
2434,2021-07-01,Waajid,,,,,,,,10.0,,
2435,2021-07-01,Wanla Weyn,,,3.54,,,,330.0,5.0,,
2436,2021-07-01,Xarardheere,,,,,,,,,,
2437,2021-07-01,Xudur,20.0,,16.0,,,,,308.0,,
