,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc_x,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district_encoded
0,2017-07-01,Adan Yabaal,65262.95999999999,13052.592,4819.0169664,3733.0413119999994,1085.9756544000004,0.3692,0.0832,0.18,19.156666666666663,0.215,15.0,2.1666666666666665,3.0,3.549436,46.54467,,0.3510000000000001,7,False,-0.0181999999999998,0
1,2017-07-01,Lughaye,70268.22,14053.643999999998,5334.7632624,4220.3092932,1114.4539692,0.3796000000000001,0.0793,0.36,5.794999999999999,0.09,4.5,2.6666666666666665,1.0,10.64738,43.57811999999999,,0.1689999999999999,7,False,-0.2106000000000002,58
2,2017-07-01,Buuhoodle,71317.70999999999,14263.542,4858.162405200002,3652.8931062000015,1205.269299,0.3406000000000001,0.0845,0.37,19.540000000000003,0.2133333333333333,16.167863377852875,2.333333333333333,2.5,8.460162,46.66129,,0.2028,7,False,-0.1378000000000001,23
3,2017-07-01,Luuq,100476.765,20095.353000000006,8673.154354799999,7366.956409799999,1306.1979450000003,0.4315999999999998,0.065,0.21,24.24,0.1933333333333333,15.0,7.833333333333333,1.5,3.792931,42.6976,,0.3926,7,False,-0.0389999999999998,59
4,2017-07-01,Burtinle,112734.27,22546.854,10200.196749600002,8500.163958000003,1700.0327915999994,0.4524000000000001,0.0753999999999999,0.22,15.903333333333334,0.18,85.0,3.6666666666666665,1.0,7.802199000000001,48.39912,,0.3796,7,False,-0.0728,22
5,2017-07-01,Marka,282222.765,56444.55299999999,20839.328967599995,16143.142157999995,4696.1868096,0.3692,0.0832,0.17,23.565,0.2983333333333333,36.5,11.833333333333334,11.833333333333334,1.740153,44.71787,,0.351,7,False,-0.0181999999999999,60
6,2017-07-01,Owdweyne,78004.845,15600.969,5313.6900414,3995.4081608999995,1318.2818805000004,0.3406,0.0845,0.46,16.686666666666667,0.165,16.61640936921682,1.6666666666666667,2.0,9.257388,45.01097000000001,,0.2028,7,False,-0.1378,61
7,2017-07-01,Bulo Burto,181435.5,36287.1,15567.165900000002,12548.079180000002,3019.08672,0.4290000000000001,0.0832,0.38,17.058333333333334,0.245,30.0,6.166666666666667,2.4,3.900063,45.53233,,0.3926,7,False,-0.0364000000000001,20
8,2017-07-01,Qandala,75823.06499999999,15164.612999999998,6150.767032799999,5125.639193999999,1025.1278387999996,0.4056,0.0675999999999999,0.38,11.034999999999998,0.1633333333333333,17.754529701600084,1.6666666666666667,3.333333333333333,11.060160000000002,50.08869000000001,,0.3431999999999999,7,False,-0.0624000000000001,62
9,2017-07-01,Bu'aale,93543.3,18708.66,8074.657656,6858.594756,1216.0629,0.4316,0.0649999999999999,0.07,61.24333333333333,0.4783333333333333,30.0,5.666666666666667,1.5,1.197985,42.7408,,0.3925999999999999,7,False,-0.039,19
10,2017-07-01,Qansax Dheere,123818.085,24763.617,8885.1857796,6116.613399,2768.5723806,0.3588,0.1117999999999999,0.42,35.505,0.2916666666666667,21.5,9.833333333333334,2.0,2.81513,42.84011,,0.2886,7,False,-0.0701999999999999,63
11,2017-07-01,Bossaso,365531.98,73106.39600000001,30416.3542176,24990.241848,5426.1123696,0.4160559934810628,0.0742221292046731,0.02,10.411666666666669,0.145,10.0,5.833333333333333,8.333333333333334,10.9218,49.39968,,0.3432,7,False,-0.0728559934810628,18
12,2017-07-01,Qardho,185616.89,37123.378,15267.6070768,12724.851204,2542.7558728,0.4112666438059597,0.0684947332325199,0.04,16.371666666666666,0.1316666666666666,27.325152540438175,1.6666666666666667,1.0,9.502092,49.50764999999999,,0.3432000000000001,7,False,-0.0680666438059595,64
13,2017-07-01,Borama,491879.61,98375.922,37343.499991199984,29542.289376599983,7801.210614600002,0.3796,0.0793,0.07,26.776666666666667,0.18,5.083333333333333,4.666666666666667,1.6,10.18763,43.17024,,0.1690000000000001,7,False,-0.2105999999999999,17
14,2017-07-01,Qoryooley,196309.485,39261.897,14495.492372399996,11228.902541999996,3266.5898304,0.3691999999999998,0.0832,0.12,27.45833333333333,0.3533333333333333,28.166666666666668,8.0,5.666666666666667,1.934555,44.44943,,0.351,7,False,-0.0181999999999998,65
15,2017-07-01,Berbera,112100.9,22420.18,7595.508440000001,5726.7746640000005,1868.7337760000007,0.3387799937377845,0.0833505251072917,0.17,11.26,0.1033333333333333,18.82045294757275,1.3333333333333333,1.6,10.35884,45.28606,,0.1976,7,False,-0.1411799937377845,16
16,2017-07-01,Rab Dhuure,35703.36,7140.672000000001,3471.7947264,2469.2443776,1002.5503488,0.4861999999999999,0.1403999999999999,,22.225,0.17,15.682353811671373,0.8333333333333334,1.0,4.243281,43.21162,,0.4861999999999999,7,True,0.0,66
17,2017-07-01,Belet Xaawo,89717.93999999997,17943.588,7744.452580800003,6578.119360800003,1166.33322,0.4316000000000001,0.065,0.23,25.688333333333333,0.2616666666666666,22.0,8.0,1.5,3.4355860000000003,41.7337,,0.3926000000000001,7,False,-0.0389999999999999,15
18,2017-07-01,Saakow,178339.81499999997,35667.963,15394.2928308,13075.875235799998,2318.417595,0.4316,0.065,0.07,49.623333333333335,0.3349999999999999,30.0,5.833333333333333,1.0,1.628627,42.06274000000001,,0.3925999999999999,7,False,-0.039,67
