,date,district,total population,Under-Five Population,GAM,SAM,GAM Prevalence,SAM Prevalence,ipc,rainfall,ndvi,Total alarms,conflicts,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district_encoded,price_of_water
0,2017-07-01,Adan Yabaal,65262.95999999999,13052.592,4819.0169664,1085.9756544000002,0.3692,0.0832,0.18,19.156666666666663,0.215,2.1666666666666665,2.15,,0.3510000000000001,7,False,-0.0181999999999998,0,15.0
1,2017-07-01,Luuq,100476.765,20095.353000000006,8673.154354799999,1306.1979450000003,0.4315999999999998,0.065,0.21,24.24,0.1933333333333333,7.833333333333333,1.5,,0.3926,7,False,-0.0389999999999998,59,15.0
2,2017-07-01,Buur Hakaba,165968.46,33193.692,11909.896689600002,3711.0547656,0.3588,0.1117999999999999,0.35,34.945,0.3483333333333333,6.166666666666667,4.666666666666667,,0.2886,7,False,-0.0701999999999999,24,52.5
3,2017-07-01,Marka,282222.765,56444.55299999999,20839.328967599995,4696.1868096,0.3692,0.0832,0.17,23.565,0.2983333333333333,11.833333333333334,11.833333333333334,,0.351,7,False,-0.0181999999999999,60,36.5
4,2017-07-01,Buuhoodle,71317.70999999999,14263.542,4858.162405200002,1205.269299,0.3406000000000001,0.0845,0.37,19.540000000000003,0.2133333333333333,2.333333333333333,2.5,,0.2027999999999999,7,False,-0.1378000000000002,23,19.7351613829938
5,2017-07-01,Owdweyne,78004.845,15600.969,5313.6900414,1318.2818805000004,0.3406,0.0845,0.46,16.686666666666667,0.165,1.6666666666666667,2.0,,0.2028,7,False,-0.1378,61,20.398107315383072
6,2017-07-01,Qandala,75823.06499999999,15164.612999999998,6150.767032799999,1025.1278387999996,0.4055999999999999,0.0675999999999999,0.38,11.034999999999998,0.1633333333333333,1.6666666666666667,3.333333333333333,,0.3431999999999999,7,False,-0.0624,62,18.05309927246769
7,2017-07-01,Burco,560644.8949999999,112128.979,37668.717447400006,9240.4827255,0.3359409653359994,0.0824094075225638,0.23,18.7,0.185,7.666666666666667,4.25,,0.2028,7,False,-0.1331409653359993,21,6.516666666666667
8,2017-07-01,Qansax Dheere,123818.085,24763.617,8885.1857796,2768.5723806,0.3588,0.1117999999999999,0.42,35.505,0.2916666666666667,9.833333333333334,2.0,,0.2886,7,False,-0.0701999999999999,63,21.5
9,2017-07-01,Bulo Burto,181435.5,36287.1,15567.165900000002,3019.08672,0.429,0.0832,0.38,17.058333333333334,0.245,6.166666666666667,2.4,,0.3926,7,False,-0.0363999999999999,20,30.0
10,2017-07-01,Qardho,185616.89,37123.378,15267.6070768,2542.7558728,0.4112666438059597,0.0684947332325199,0.04,16.371666666666666,0.1316666666666666,1.6666666666666667,1.0,,0.3432,7,False,-0.0680666438059596,64,26.1312471053848
11,2017-07-01,Bu'aale,93543.3,18708.66,8074.657656,1216.0629,0.4316,0.0649999999999999,0.07,61.24333333333333,0.4783333333333333,5.666666666666667,1.5,,0.3925999999999999,7,False,-0.039,19,30.0
12,2017-07-01,Qoryooley,196309.485,39261.897,14495.492372399996,3266.5898304,0.3691999999999998,0.0832,0.12,27.45833333333333,0.3533333333333333,8.0,5.666666666666667,,0.351,7,False,-0.0181999999999998,65,28.166666666666668
13,2017-07-01,Bossaso,365531.98,73106.39600000001,30416.3542176,5426.1123696,0.4160559934810628,0.0742221292046731,0.02,10.411666666666669,0.145,5.833333333333333,8.333333333333334,,0.3432,7,False,-0.0728559934810628,18,10.0
14,2017-07-01,Rab Dhuure,35703.36,7140.672000000001,3471.7947264,1002.5503488,0.4861999999999999,0.1403999999999999,0.06999999999999999,22.225,0.17,0.8333333333333334,1.0,,0.4861999999999999,7,True,0.0,66,19.519948443903818
15,2017-07-01,Borama,491879.61,98375.922,37343.49999119999,7801.2106146000015,0.3795999999999999,0.0793,0.07,26.776666666666667,0.18,4.666666666666667,1.6,,0.1690000000000001,7,False,-0.2105999999999998,17,5.083333333333333
16,2017-07-01,Sablaale,62978.715,12595.743,4650.3483156,1047.9658176,0.3692,0.0832,0.13,55.025,0.4833333333333333,0.3333333333333333,1.0,,0.3510000000000001,7,False,-0.0181999999999998,69,18.77244571029312
17,2017-07-01,Berbera,112100.9,22420.18,7595.508440000001,1868.7337760000005,0.3387799937377845,0.0833505251072917,0.17,11.26,0.1033333333333333,1.3333333333333333,1.6,,0.1976,7,False,-0.1411799937377845,16,23.564244534731806
18,2017-07-01,Sheikh,62404.28999999999,12480.858,4250.9802348,1054.632501,0.3406,0.0845,0.26,17.166666666666668,0.18,0.8333333333333334,1.0,,0.2028,7,False,-0.1378,70,18.851507086722116
19,2017-07-01,Belet Xaawo,89717.93999999997,17943.588,7744.452580800002,1166.33322,0.4316000000000001,0.065,0.23,25.688333333333333,0.2616666666666666,8.0,1.5,,0.3926,7,False,-0.039,15,22.0
20,2017-07-01,Taleex,57175.47,11435.094,5054.311548,1189.249776,0.442,0.104,0.39,11.511666666666668,0.1266666666666666,1.5,1.2,,0.2912,7,False,-0.1508,71,20.185272113921243
21,2017-07-01,Belet Weyne,281126.69999999995,56225.34,24120.67086,4677.9482880000005,0.429,0.0832,0.42,15.163333333333334,0.22,11.833333333333334,9.0,,0.3926,7,False,-0.0363999999999999,13,25.416666666666668
22,2017-07-01,Tayeeglow,99175.77,19835.154,9643.8518748,2784.8556216,0.4861999999999999,0.1404,0.33,20.218333333333334,0.2966666666666667,6.333333333333333,2.0,,0.4861999999999999,7,True,0.0,72,60.0
23,2017-07-01,Baraawe,69703.11,13940.622,5146.877642400002,1159.8597504000004,0.3692000000000001,0.0832,0.3,43.10999999999999,0.28,6.333333333333333,5.25,,0.3510000000000001,7,False,-0.0181999999999999,11,12.0
24,2017-07-01,Waajid,85276.75499999999,17055.351000000002,8292.3116562,2394.5712804,0.4861999999999999,0.1403999999999999,0.44,26.04833333333333,0.2566666666666666,7.0,2.75,,0.4861999999999999,7,True,0.0,73,29.038043735343678
25,2017-07-01,Bandarbeyla,27594.135,5518.826999999999,2238.4362312,373.0727052,0.4056,0.0676,0.15,12.158333333333331,0.1383333333333333,2.1666666666666665,1.25,,0.3432000000000001,7,False,-0.0623999999999999,10,30.0
26,2017-07-01,Wanla Weyn,227667.915,45533.583,16810.9988436,3788.3941056,0.3692,0.0832,0.06,17.33,0.2533333333333333,8.0,3.0,,0.351,7,False,-0.0181999999999999,74,10.0
27,2017-07-01,Banadir,2077273.9450000003,415454.789,161739.17677320002,37542.259279200014,0.3893063241911504,0.0903642472615715,0.1,28.77,0.20146666666666663,14.0,55.833333333333336,,0.2912,7,False,-0.0981063241911504,9,238.83715137030254
28,2017-07-01,Cabudwaaq,73330.78499999999,14666.157,7626.401640000001,1754.0723772,0.5200000000000001,0.1196,0.36,11.251666666666663,0.1899999999999999,5.5,2.5,,0.4212,7,False,-0.0988000000000001,25,15.333333333333334
