,date,district,MAM_admissions,SAM_admissions
0,2019-01-01,Afgooye,1547.0,903.0
1,2019-02-01,Afgooye,2306.0,997.0
2,2019-03-01,Afgooye,2299.0,485.0
3,2019-04-01,Afgooye,2928.0,274.0
4,2019-05-01,Afgooye,843.0,708.0
5,2019-06-01,Afgooye,928.0,869.0
6,2019-07-01,Afgooye,1300.0,810.0
7,2019-08-01,Afgooye,985.0,569.0
8,2019-09-01,Afgooye,969.0,603.0
9,2019-10-01,Afgooye,1047.0,687.0
10,2019-11-01,Afgooye,1270.0,669.0
11,2019-12-01,Afgooye,1797.0,1166.0
12,2020-01-01,Afgooye,655.0,977.0
13,2020-02-01,Afgooye,864.0,740.0
14,2020-03-01,Afgooye,705.0,1174.0
15,2020-04-01,Afgooye,2055.0,1131.0
16,2020-05-01,Afgooye,2337.0,1608.0
17,2020-06-01,Afgooye,2655.0,1531.0
18,2020-07-01,Afgooye,977.0,1274.0
19,2020-08-01,Afgooye,1996.0,1082.0
20,2020-09-01,Afgooye,1871.0,1088.0
21,2020-10-01,Afgooye,1553.0,766.0
22,2020-11-01,Afgooye,1834.0,978.0
23,2020-12-01,Afgooye,2800.0,1246.0
24,2021-01-01,Afgooye,2362.0,1059.0
25,2021-02-01,Afgooye,1877.0,926.0
26,2021-03-01,Afgooye,1817.0,1119.0
27,2021-04-01,Afgooye,1981.0,868.0
28,2021-05-01,Afgooye,2440.0,793.0
29,2021-06-01,Afgooye,1335.0,1001.0
30,2021-07-01,Afgooye,1216.0,916.0
31,2021-08-01,Afgooye,1264.0,927.0
32,2021-09-01,Afgooye,1313.0,961.0
33,2021-10-01,Afgooye,1235.0,884.0
34,2021-11-01,Afgooye,1332.0,803.0
35,2019-01-01,Afmadow,990.0,456.0
36,2019-02-01,Afmadow,889.0,499.0
37,2019-03-01,Afmadow,737.0,474.0
38,2019-04-01,Afmadow,864.0,395.0
39,2019-05-01,Afmadow,638.0,487.0
40,2019-06-01,Afmadow,438.0,527.0
41,2019-07-01,Afmadow,598.0,364.0
42,2019-08-01,Afmadow,686.0,710.0
