,date,district,MAM_admissions,SAM_admissions
508,2020-07-01,Bossaso,699.0,578.0
509,2020-08-01,Bossaso,663.0,522.0
510,2020-09-01,Bossaso,629.0,475.0
511,2020-10-01,Bossaso,524.0,528.0
512,2020-11-01,Bossaso,615.0,517.0
513,2020-12-01,Bossaso,533.0,592.0
514,2021-01-01,Bossaso,618.0,526.0
515,2021-02-01,Bossaso,396.0,364.0
516,2021-03-01,Bossaso,798.0,440.0
517,2021-04-01,Bossaso,1064.0,433.0
518,2021-05-01,Bossaso,963.0,494.0
519,2021-06-01,Bossaso,1529.0,376.0
520,2021-07-01,Bossaso,814.0,236.0
521,2021-08-01,Bossaso,910.0,596.0
522,2021-09-01,Bossaso,1058.0,645.0
523,2021-10-01,Bossaso,1081.0,699.0
524,2021-11-01,Bossaso,1396.0,601.0
525,2019-01-01,Bulo Burto,0.0,56.0
526,2019-02-01,Bulo Burto,0.0,132.0
527,2019-03-01,Bulo Burto,3068.0,40.0
528,2019-04-01,Bulo Burto,0.0,59.0
529,2019-05-01,Bulo Burto,0.0,46.0
530,2019-06-01,Bulo Burto,0.0,105.0
531,2019-07-01,Bulo Burto,1851.0,92.0
532,2019-08-01,Bulo Burto,1701.0,63.0
533,2019-09-01,Bulo Burto,189.0,142.0
534,2019-10-01,Bulo Burto,444.0,99.0
535,2019-11-01,Bulo Burto,0.0,25.0
536,2019-12-01,Bulo Burto,445.0,0.0
537,2020-01-01,Bulo Burto,0.0,20.0
538,2020-02-01,Bulo Burto,76.0,14.0
539,2020-03-01,Bulo Burto,0.0,14.0
540,2020-04-01,Bulo Burto,2501.0,39.0
541,2020-05-01,Bulo Burto,0.0,28.0
542,2020-06-01,Bulo Burto,0.0,24.0
543,2020-07-01,Bulo Burto,0.0,0.0
544,2020-08-01,Bulo Burto,495.0,30.0
545,2020-09-01,Bulo Burto,,
546,2020-10-01,Bulo Burto,1628.0,21.0
547,2020-11-01,Bulo Burto,2616.0,37.0
548,2020-12-01,Bulo Burto,814.0,42.0
549,2021-01-01,Bulo Burto,1628.0,48.0
550,2021-02-01,Bulo Burto,966.0,26.0
551,2021-03-01,Bulo Burto,2604.0,20.0
552,2021-04-01,Bulo Burto,819.0,31.0
553,2021-05-01,Bulo Burto,814.0,0.0
554,2021-06-01,Bulo Burto,814.0,87.0
555,2021-07-01,Bulo Burto,814.0,55.0
556,2021-08-01,Bulo Burto,1628.0,215.0
557,2021-09-01,Bulo Burto,1628.0,64.0
558,2021-10-01,Bulo Burto,0.0,210.0
559,2021-11-01,Bulo Burto,814.0,473.0
560,2019-01-01,Burco,284.0,315.0
561,2019-02-01,Burco,76.0,179.0
562,2019-03-01,Burco,104.0,178.0
563,2019-04-01,Burco,203.0,374.0
