,date,district,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase
505,2018-01-01,Ceerigaabo,0.3367000000000001,0.3367000000000001,0.4446,0.13,0.24,239221.62,1,35,True
506,2018-01-01,Afgooye,0.351,0.351,0.3692,0.28,0.0,309683.38499999995,1,1,True
507,2018-01-01,Gaalkacyo,0.4004,0.4004,0.4796931726673279,0.17,0.29,584319.6,1,40,True
508,2018-01-01,Bossaso,0.3432,0.3432,0.4160559934810628,0.15,0.01,316531.98,1,18,True
509,2018-01-01,Sablaale,0.3510000000000001,0.3510000000000001,0.3692,0.22,0.11,62978.715,1,69,True
510,2018-01-01,Waajid,0.4861999999999999,0.4861999999999999,0.4861999999999999,0.11,0.11,85276.75499999999,1,73,True
511,2018-01-01,Jowhar,0.351,0.351,0.3692000000000001,0.16,0.0,279295.785,1,52,True
512,2018-01-01,Cadale,0.351,0.351,0.3691999999999999,0.24,0.0,48461.80499999999,1,27,True
513,2018-01-01,Bu'aale,0.3925999999999999,0.3925999999999999,0.4316,0.41,0.0,93543.3,1,19,True
514,2018-01-01,Jalalaqsi,0.3925999999999999,0.3925999999999999,0.4290000000000001,0.15,0.16,76346.775,1,48,True
515,2018-01-01,Iskushuban,0.3432,0.3432,0.4056,0.07,0.16,82588.86,1,47,True
516,2018-01-01,Tayeeglow,0.4861999999999999,0.4861999999999999,0.4861999999999999,0.13,0.08,99175.77,1,72,True
517,2018-01-01,Baraawe,0.3510000000000001,0.3510000000000001,0.3692000000000001,0.27,0.29,69703.11,1,11,True
518,2018-02-01,Ceerigaabo,0.3367000000000001,0.3367000000000001,0.4446,0.12,0.24,239221.62,2,35,True
519,2018-02-01,Luuq,0.3926,0.3926,0.4315999999999998,0.17,0.0,100476.765,2,59,True
520,2018-02-01,Borama,0.1690000000000001,0.1690000000000001,0.3795999999999999,0.16,0.04,491879.61,2,17,True
521,2018-02-01,Buur Hakaba,0.2886,0.2886,0.3588,0.27,0.1,165968.46,2,24,True
522,2018-02-01,Ceel Buur,0.4212,0.4212,0.52,0.2,0.14,141229.88999999998,2,32,True
523,2018-02-01,Burco,0.2028,0.2028,0.3359409653359994,0.16,0.05,534884.8949999999,2,21,True
524,2018-02-01,Buuhoodle,0.2027999999999999,0.2027999999999999,0.3406000000000001,0.18,0.17,71317.70999999999,2,23,True
525,2018-02-01,Garoowe,0.3795999999999999,0.3795999999999999,0.458347673913086,0.13,0.08,188544.915,2,43,True
526,2018-02-01,Gaalkacyo,0.4004,0.4004,0.4796931726673279,0.16,0.29,584319.6,2,40,True
527,2018-02-01,Baardheere,0.3925999999999999,0.3925999999999999,0.4316,0.24,0.0,170132.26499999998,2,3,True
528,2018-02-01,Cadale,0.351,0.351,0.3691999999999999,0.2,0.0,48461.80499999999,2,27,True
529,2018-02-01,Qoryooley,0.351,0.351,0.3691999999999998,0.31,0.09,196309.485,2,65,True
530,2018-02-01,Bossaso,0.3432,0.3432,0.4160559934810628,0.14,0.01,316531.98,2,18,True
