,date,district,Unnamed: 0,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase,Cowpea,Maize,Sorghum,crop
0,2018-01-01,Burco,74,0.2028,0.2211366753028379,0.3359409653359994,0.185,0.05,534884.8949999999,1,21,True,456.46104071993886,272.8583659298774,272.8583659298774,334.0592575265645
1,2018-01-01,Xudur,75,0.4862,0.4689020964811947,0.4862,0.2483333333333333,0.14,113853.105,1,77,False,50.0,500.0,500.0,350.0
2,2018-01-01,Cadale,77,0.351,0.2829201738380863,0.3691999999999999,0.2266666666666666,0.0,48461.80499999999,1,27,False,12.0,30.0,30.0,24.0
3,2018-01-01,Qoryooley,78,0.351,0.4363798525409664,0.3691999999999998,0.3466666666666667,0.09,196309.485,1,65,True,350.0,600.0,600.0,516.6666666666666
4,2018-01-01,Baardheere,79,0.3925999999999999,0.2972606382668021,0.4316,0.2933333333333333,0.0,170132.26499999998,1,3,False,28.0,1.68,1.68,10.453333333333333
5,2018-01-01,Luuq,83,0.3926,0.4123022966960434,0.4315999999999998,0.1883333333333333,0.0,100476.765,1,59,True,18.0,100.0,100.0,72.66666666666667
6,2018-01-01,Bu'aale,84,0.3925999999999999,0.4125181113098476,0.4316,0.4233333333333333,0.0,93543.3,1,19,True,378.0,200.0,200.0,259.3333333333333
7,2018-01-01,Marka,85,0.351,0.3971406259324205,0.3692,0.3116666666666667,0.03,282222.765,1,60,True,151.4,500.0,500.0,383.8
8,2018-01-01,Bulo Burto,89,0.3926,0.3908949717937982,0.429,0.2733333333333333,0.25,181435.5,1,20,False,0.0,281.012,281.012,187.34133333333332
9,2018-01-01,Owdweyne,90,0.2028,0.2303423878316652,0.3406,0.15,0.3,78004.845,1,61,True,7.1994800607777725,232.3408691612116,232.3408691612116,157.293739461067
10,2018-01-01,Badhaadhe,93,0.3926,0.3711192650605567,0.4316000000000001,0.5016666666666667,0.09,50723.28,1,4,False,1.0,269.6342426453924,269.6342426453924,180.0894950969283
11,2018-01-01,Qansax Dheere,94,0.2886,0.5092847348131929,0.3588,0.2666666666666666,0.09,123818.085,1,63,True,196.0,6.0,6.0,69.33333333333333
12,2018-01-01,Buur Hakaba,96,0.2886,0.4846909879180319,0.3588,0.3633333333333333,0.1,165968.46,1,24,True,125.0,5.04,5.04,45.02666666666667
13,2018-01-01,Kurtunwaarey,97,0.3510000000000001,0.4461179568825337,0.3691999999999999,0.365,0.18,95730.255,1,54,True,112.0,277.70091064172817,277.70091064172817,222.46727376115211
14,2018-01-01,Kismaayo,99,0.3925999999999999,0.4685498464822668,0.4255768922026957,0.3433333333333333,0.17,218785.545,1,53,True,102.0,299.76255558938647,299.76255558938647,233.84170372625763
15,2018-01-01,Adan Yabaal,101,0.3510000000000001,0.2789393906990287,0.3692,0.225,0.0,65262.95999999999,1,0,False,60.0,60.0,60.0,60.0
16,2018-01-01,Doolow,105,0.3926,0.5392512067568789,0.4356257436740676,0.2016666666666666,0.0,42455.7,1,38,True,6.0,30.0,30.0,22.0
17,2018-01-01,Gebiley,106,0.1975999999999999,0.2443191130723181,0.338,0.2083333333333333,0.13,146038.5,1,44,True,138.52953000546535,279.48670089388025,279.48670089388025,232.5009772644086
18,2018-01-01,Diinsoor,107,0.2886000000000001,0.4769534198876959,0.3588,0.345,0.09,100108.305,1,37,True,199.0,5.32,5.32,69.88
19,2018-01-01,Hargeysa,108,0.1975999999999999,0.2386485041615721,0.3425891325819686,0.0,0.14,1027923.705,1,45,True,783.8522707654718,254.8700266615473,254.8700266615473,431.19744136285544
20,2018-01-01,Afgooye,110,0.351,0.384859060068862,0.3692,0.2733333333333334,0.0,309683.38499999995,1,1,True,1520.0,4.8,4.8,509.8666666666666
21,2018-01-01,Hobyo,111,0.4003999999999999,0.3354148794445133,0.4732,0.1366666666666667,0.25,142717.185,1,46,False,300.0,72.0,72.0,148.0
22,2018-01-01,Jalalaqsi,116,0.3925999999999999,0.3858321287337016,0.4290000000000001,0.2783333333333333,0.16,76346.775,1,48,False,0.0,785.0,785.0,523.3333333333334
23,2018-01-01,Ceel Dheer,117,0.4211999999999999,0.3142399717243435,0.52,0.2066666666666666,0.19,130366.52999999998,1,33,False,1.56,240.0,240.0,160.52
24,2018-01-01,Jamaame,118,0.3926,0.4077438698894172,0.4316000000000001,0.3333333333333333,0.25,169536.10499999998,1,49,True,313.0,321.5875635509798,321.5875635509798,318.7250423673199
25,2018-01-01,Afmadow,122,0.3925999999999999,0.3680877161916911,0.4206678541919456,0.3216666666666666,0.01,67386.78,1,2,False,24.0,287.6494419338111,287.6494419338111,199.76629462254073
26,2018-01-01,Jilib,123,0.3925999999999999,0.4060356888423295,0.4316000000000001,0.3916666666666666,0.09,103739.085,1,51,True,488.0,286.53022047267024,286.53022047267024,353.6868136484468
27,2018-01-01,Jowhar,125,0.351,0.3830459721840857,0.3692000000000001,0.26,0.0,279295.785,1,52,True,450.0,1.925,1.925,151.28333333333333
28,2018-01-01,Belet Xaawo,130,0.3926,0.3942363701220913,0.4316000000000001,0.2699999999999999,0.0,89717.93999999997,1,15,True,0.0,30.0,30.0,20.0
29,2018-01-01,Tayeeglow,132,0.4861999999999999,0.3502607787971933,0.4861999999999999,0.3116666666666667,0.08,99175.77,1,72,False,60.0,560.0,560.0,393.3333333333333
30,2018-01-01,Baraawe,134,0.3510000000000001,0.3785774588022779,0.3692000000000001,0.27,0.29,69703.11,1,11,True,60.0,287.00754968462485,287.00754968462485,211.33836645641657
