,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc_x,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,6lag_next_prevalence,prevalence_6lag,next_prevalence,prevalence_1lag,month,increase,increase_numeric,district_encoded
21,2017-07-01,Banadir,2077273.9450000003,415454.789,161739.17677320002,124196.91749400004,37542.259279200014,0.3893063241911504,0.0903642472615715,0.1,40.37,,,14.0,54.0,2.110552,45.42547,0.2912,,0.3893063241911504,,7,True,0.0,9
22,2017-07-01,Zeylac,64412.19,12882.438,4890.1734648,3868.5961314,1021.5773334,0.3796,0.0793,0.39,7.24,0.09,5.5,6.0,1.0,10.89293,43.16827,0.1689999999999999,,0.3796,,7,True,0.0,78
23,2017-07-01,Baraawe,69703.11,13940.622,5146.877642400002,3987.017892000001,1159.8597504000004,0.3692000000000001,0.0832,0.3,31.7,0.34,,4.0,1.0,1.10831,43.84067,0.3510000000000001,,0.3692000000000001,,7,True,0.0,11
24,2017-07-01,Ceel Afweyn,137053.66499999998,27410.733,12186.811891799998,9585.5333301,2601.2785616999995,0.4446,0.0949,0.38,2.39,0.13,,3.0,1.0,10.14797,46.68845,0.3367,,0.4446,,7,True,0.0,30
25,2017-07-01,Kismaayo,228785.545,45757.109,19473.1682444,16514.556159400006,2958.612085,0.4255768922026957,0.0646590693699639,0.3,31.08,0.6,70.0,7.0,15.0,-0.3811448,42.00865,0.3925999999999999,,0.4255768922026957,,7,True,0.0,53
26,2017-07-01,Owdweyne,78004.845,15600.969,5313.6900414,3995.4081609,1318.2818805000004,0.3406,0.0845,0.46,4.65,0.17,,2.0,2.0,9.257388,45.01097,0.2028,,0.3406,,7,True,0.0,61
27,2017-07-01,Burtinle,112734.27,22546.854,10200.196749600002,8500.163958,1700.0327915999997,0.4524000000000001,0.0753999999999999,0.22,0.11,0.18,,1.0,,7.802199000000001,48.39912,0.3795999999999999,,0.4524000000000001,,7,True,0.0,22
28,2017-07-01,Wanla Weyn,227667.915,45533.583,16810.9988436,13022.604737999998,3788.3941056,0.3692,0.0832,0.06,12.43,0.27,10.0,9.0,1.0,2.791644,44.90647,0.351,,0.3692,,7,True,0.0,74
29,2017-07-01,Ceerigaabo,239221.62,47844.324,21271.5864504,16731.1601028,4540.426347600001,0.4446,0.0949,0.34,1.93,0.14,42.5,2.0,2.0,10.29076,47.8071,0.3367000000000001,,0.4446,,7,True,0.0,35
30,2017-07-01,Ceel Dheer,130366.52999999998,26073.306,13558.11912,10439.751722399998,3118.3673976,0.52,0.1196,0.38,27.66,0.15,25.0,2.0,1.0,4.051839,47.04732,0.4211999999999999,,0.52,,7,True,0.0,33
31,2017-07-01,Laasqoray,186893.055,37378.611,16618.530450600007,13071.300266700006,3547.230183899999,0.4446000000000001,0.0948999999999999,0.35,1.29,0.15,,1.0,1.0,10.53805,48.69515999999999,0.3367,,0.4446000000000001,,7,True,0.0,56
32,2017-07-01,Diinsoor,100108.305,20021.661,7183.771966800001,4945.350267000002,2238.4216998,0.3588,0.1118,0.39,14.65,0.42,35.0,7.0,1.0,2.102024,42.90189,0.2886000000000001,,0.3588,,7,True,0.0,37
33,2017-07-01,Belet Xaawo,89717.93999999997,17943.588,7744.452580800002,6578.119360800001,1166.33322,0.4316000000000001,0.065,0.23,6.31,0.24,22.0,9.0,2.0,3.435586,41.7337,0.3926,,0.4316000000000001,,7,True,0.0,15
34,2017-07-01,Jariiban,83205.71999999999,16641.143999999997,7874.589340799997,6316.978262399999,1557.611078399999,0.4731999999999999,0.0935999999999999,0.38,0.65,0.14,,3.0,,7.163778999999999,48.9986,0.4004,,0.4731999999999999,,7,True,0.0,50
35,2017-07-01,Burco,560644.8949999999,112128.979,37668.717447400006,28428.234721900004,9240.4827255,0.3359409653359994,0.0824094075225638,0.23,3.66,0.2,7.0,5.0,3.0,9.141337,45.75868,0.2028,,0.3359409653359994,,7,True,0.0,21
36,2017-07-01,Gebiley,146038.5,29207.7,9872.2026,7442.121959999999,2430.08064,0.338,0.0831999999999999,0.15,11.99,0.17,10.5,4.0,1.0,9.859568,43.68093,0.1975999999999999,,0.338,,7,True,0.0,44
37,2017-07-01,Qardho,185616.89,37123.378,15267.6070768,12724.851204000002,2542.7558728,0.4112666438059597,0.0684947332325199,0.04,0.52,0.13,,3.0,1.0,9.502092,49.50765,0.3432,,0.4112666438059597,,7,True,0.0,64
38,2017-07-01,Cadale,48461.80499999999,9692.361,3578.419681199998,2772.0152459999986,806.4044352000002,0.3691999999999999,0.0832,0.17,26.45,0.2,,9.0,2.0,3.091515,46.26282,0.351,,0.3691999999999999,,7,True,0.0,27
39,2017-07-01,Qoryooley,196309.485,39261.897,14495.492372399996,11228.902541999994,3266.5898304,0.3691999999999998,0.0832,0.12,26.71,0.42,15.0,8.0,2.0,1.934555,44.44943,0.351,,0.3691999999999998,,7,True,0.0,65
40,2017-07-01,Tayeeglow,99175.77,19835.154,9643.8518748,6858.996253200001,2784.8556216,0.4861999999999999,0.1404,0.33,30.27,0.28,,5.0,1.0,3.835937,44.52907,0.4861999999999999,,0.4861999999999999,,7,True,0.0,72
41,2017-07-01,Bandarbeyla,27594.135,5518.826999999999,2238.4362312,1865.363526,373.0727052,0.4056,0.0676,0.15,0.15,0.13,30.0,1.0,,9.229735,50.32945,0.3432000000000001,,0.4056,,7,True,0.0,10
42,2017-07-01,Jalalaqsi,76346.775,15269.355,6550.5532950000015,5280.142959000002,1270.410336,0.4290000000000001,0.0832,0.33,11.56,0.27,,3.0,6.0,3.40329,45.61273,0.3925999999999999,,0.4290000000000001,,7,True,0.0,48
43,2017-07-01,Luuq,100476.765,20095.353000000006,8673.154354799999,7366.956409800001,1306.1979450000003,0.4315999999999998,0.065,0.21,2.47,0.17,15.0,8.0,2.0,3.792931,42.6976,0.3926,,0.4315999999999998,,7,True,0.0,59
44,2017-07-01,Afgooye,309683.38499999995,61936.677,22867.021148400003,17713.889621999995,5153.1315264,0.3692,0.0831999999999999,0.09,21.71,0.29,15.0,7.0,24.0,2.236402,45.07666,0.351,,0.3692,,7,True,0.0,1
45,2017-07-01,Caynabo,69235.29,13847.058,6120.399636,4680.305604,1440.094032,0.442,0.104,0.43,2.87,0.15,,1.0,1.0,9.282376,46.49009,0.2911999999999999,,0.442,,7,True,0.0,29
46,2017-07-01,Kurtunwaarey,95730.255,19146.051,7068.722029199998,5475.770585999999,1592.9514432,0.3691999999999999,0.0832,0.17,29.52,0.45,,6.0,2.0,1.674606,44.06695,0.3510000000000001,,0.3691999999999999,,7,True,0.0,54
47,2017-07-01,Xarardheere,278193.50999999995,55638.70199999999,26328.233786400004,21120.451279199995,5207.782507199999,0.4732000000000002,0.0935999999999999,0.25,18.7,0.13,10.0,5.0,1.0,4.793407,47.83268,0.4004000000000001,,0.4732000000000002,,7,True,0.0,75
48,2017-07-01,Saakow,178339.81499999997,35667.963,15394.2928308,13075.875235799998,2318.417595,0.4316,0.065,0.07,16.26,0.36,30.0,1.0,1.0,1.628627,42.06274000000001,0.3925999999999999,,0.4316,,7,True,0.0,67
49,2017-07-01,Lughaye,70268.22,14053.643999999998,5334.7632624,4220.3092932,1114.4539692,0.3796,0.0793,0.36,1.93,0.08,,4.0,1.0,10.64738,43.57812,0.169,,0.3796,,7,True,0.0,58
50,2017-07-01,Dhuusamarreeb,166457.645,33291.528999999995,17555.47508,13450.048211599998,4105.4268684,0.5273255872387238,0.1233174621808448,0.37,5.23,0.17,7.0,6.0,4.0,5.441128,46.68405,0.4212,,0.5273255872387238,,7,True,0.0,36
51,2017-07-01,Iskushuban,82588.86,16517.772,6699.608323200001,5583.006936000002,1116.6013872,0.4056,0.0676,0.28,0.28,0.13,30.0,2.0,2.0,10.5516,50.50521,0.3432,,0.4056,,7,True,0.0,47
52,2017-07-01,Marka,282222.765,56444.55299999999,20839.328967599995,16143.142157999995,4696.1868096,0.3692,0.0832,0.17,29.8,0.33,36.5,14.0,10.0,1.740153,44.71787,0.351,,0.3692,,7,True,0.0,60
53,2017-07-01,Doolow,50233.7,10046.74,4376.618584000002,3699.313124,677.3054599999999,0.4356257436740676,0.0674154462044404,0.23,0.28,0.16,,1.0,1.0,4.002533000000001,42.1408,0.3926,,0.4356257436740676,,7,True,0.0,38
54,2017-07-01,Sheikh,62404.28999999999,12480.858,4250.9802348,3196.3477338,1054.632501,0.3406,0.0845,0.26,4.4,0.16,,1.0,1.0,9.992453,45.42914,0.2028,,0.3406,,7,True,0.0,70
55,2017-07-01,Badhaadhe,50723.28,10144.656,4378.433529600001,3719.030889600001,659.4026400000001,0.4316000000000001,0.065,0.15,24.08,0.66,,2.0,6.0,-0.8536984000000001,41.42942,0.3926,,0.4316000000000001,,7,True,0.0,4
56,2017-07-01,Baki,70268.22,14053.643999999998,5334.7632624,4220.3092932,1114.4539692,0.3796,0.0793,0.23,5.72,0.11,,2.0,,10.28566,43.7321,0.169,,0.3796,,7,True,0.0,7
